date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1979-07-01,0.0,5.9179463817129516e-24,0.0036921263618921443,0.9963078678360323,0.0,5.802075591356389e-09
1979-08-01,0.0,2.142639384288829e-40,0.9999999307437146,6.925628787115601e-08,0.0,1.6535250979483224e-30
1979-09-01,0.0,2.102479355433387e-37,2.7836343551674843e-05,0.9964505863029559,0.0,0.0035215773534915443
1979-10-01,0.0,4.638636049330112e-25,0.9999999496388637,5.0361137514691336e-08,0.0,9.566188457778142e-17
1979-11-01,0.0,8.064605324616727e-28,0.9999995522477797,4.4775221771336524e-07,0.0,1.9136993271774388e-19
1979-12-01,0.0,5.087576146420915e-12,0.9951779027382553,0.004821888476206207,0.0,2.08780454061922e-07
1980-01-01,0.0,1.4171438350912814e-32,0.999999999478419,5.215836853220729e-10,0.0,4.013353387694262e-37
1980-02-01,0.0,2.597291512501634e-54,1.0,2.460837995231765e-21,0.0,2.341090553470323e-69
1980-03-01,0.0,1.7661726278114118e-44,1.0,1.7536044454624456e-26,0.0,5.1533241807116296e-58
1980-04-01,0.0,1.871672298803998e-155,1.248412633583683e-44,8.975609388715629e-53,1.0,1.936101482879842e-104
1980-05-01,0.0,1.5251665520963374e-89,9.54141072541453e-41,1.1163343044006163e-45,1.0,4.3181048299493397e-94
1980-06-01,0.0,1.4626596257975377e-71,1.8997123763373786e-38,2.5043802617204752e-39,1.0,7.968214612652634e-66
1980-07-01,0.0,1.6330591003682122e-300,1.825326681943198e-103,3.6784251926825184e-75,1.0,2.567668879928337e-209
1980-08-01,0.0,8.975090273753891e-113,4.724276581229192e-21,1.0,0.0,2.111472427770703e-40
1980-09-01,0.0,5.971131074450398e-47,1.3846772664450153e-12,0.9999999999986144,0.0,1.5314562607790933e-44
1980-10-01,0.0,1.3187863973345229e-53,4.140816767529668e-09,0.9999999958591843,0.0,1.899460509632348e-26
1980-11-01,0.0,4.877945037444049e-46,4.224587406439298e-10,0.9999999995775397,0.0,4.972358147970243e-16
1980-12-01,0.0,5.838000163313872e-77,4.124402285578503e-09,0.9999999958755978,0.0,5.9332815636795e-40
1981-01-01,0.0,2.4200380732111984e-34,0.9999999999614033,3.859333222543103e-11,0.0,1.3936831801434096e-25
1981-02-01,0.0,3.1639664671678346e-15,0.9983530344331365,0.0016469655668601224,0.0,5.991167627529092e-18
1981-03-01,0.0,6.283133282306526e-42,3.368142874241809e-09,2.799062476702225e-06,0.0,0.9999971975693829
1981-04-01,0.0,1.1515855547213222e-73,2.440802288566735e-133,4.440527261177123e-05,0.0,0.9999555947273904
1981-05-01,0.0,0.9999999999987779,7.740637174648669e-17,1.219577452968643e-12,0.0,5.757935014938343e-31
1981-06-01,0.0,0.999999999939476,1.3828554152502998e-156,6.052778323525668e-11,0.0,1.4616272943906208e-68
1981-07-01,0.0,0.9999999762219932,9.544684914605762e-09,1.4233318778330066e-08,0.0,1.136244671757355e-33
1981-08-01,0.0,0.9999999930965444,4.462002987983368e-09,2.441454428587783e-09,0.0,2.361568047337341e-28
1981-09-01,0.0,0.9999999999999858,4.865326419378227e-15,1.0486275092778783e-14,0.0,1.6191579122003776e-24
1981-10-01,0.0,1.4658640362247521e-126,4.572424663784863e-40,1.661992810694217e-30,1.0,1.937571802714653e-48
1981-11-01,0.0,1.0253628866065576e-54,3.216106833117709e-30,3.303015128984332e-32,1.0,8.745865341398475e-48
1981-12-01,0.0,2.6965599508771616e-54,2.066683767562496e-28,4.494625049304938e-30,1.0,4.170826866036068e-39
1982-01-01,1.0,0.0,0.0,0.0,0.0,0.0
